"Date","ES","NQ","RTY","IXT","ADBE","AMED","CMCSA","CRM","CSCO","DECK","FR","GNRC","GOOGL","HAE","IBM","INTC","JNJ","JPM","NVDA","PEP","POR","PYPL","TDOC","V"
2018-04-06,2605.75,6454.75,1515.4,643.6,218.610001,64.449997,32.905243,116.099998,38.75568,91.919998,27.686892,45.299999,1009.950012,71.529999,138.814545,46.748966,122.074669,103.817192,212.954941,103.498497,38.168945,73.860001,39.150002,116.377747
2018-04-09,2619,6497,1519.5,648.4,219.169998,63.610001,32.741302,117.190002,39.174351,92.400002,27.629572,44.91,1020.090027,71.93,140.769012,47.477173,123.389748,105.063873,214.107925,103.574249,38.140469,75.190002,38.700001,117.455513
2018-04-10,2655,6624.25,1545.5,664.4,224.529999,64.550003,32.654503,119.489998,40.449398,95.059998,27.629572,45.810001,1036.5,73.209999,143.258224,49.125225,124.123528,107.071892,226.532364,103.593185,38.017067,76.790001,39.700001,119.363823
2018-04-11,2641,6592.75,1548.6,660.4,223.630005,64.550003,32.365189,119.160004,40.373276,95.440002,27.772877,45.790001,1025.060059,73.370003,143.230545,48.96233,123.532684,105.273254,224.872467,102.9114,37.789253,76.5,40.099998,118.434387
2018-04-12,2664,6670.75,1559.3,668.6,226.960007,65.959999,31.950493,121.400002,41.239162,96.019997,27.304741,46.23,1037.290039,73.32,145.728989,50.514565,124.295059,107.890327,233.181931,102.561035,37.3526,77.459999,41.450001,119.7099
2018-04-13,2657.25,6640.75,1552.8,666.4,224.059998,65.080002,31.84441,119.010002,40.915646,94.959999,27.620018,45.970001,1036.040039,73.32,144.475174,49.690544,124.47612,104.968712,230.100662,103.460617,38.178444,77.269997,41.150002,119.393494
2018-04-16,2681.75,6712,1566.4,671.7,226.520004,66.32,32.33625,119.410004,41.201103,94.949997,27.916182,47.009998,1046.099976,74.75,145.563034,50.207951,125.562485,104.883057,230.090729,104.085579,38.634079,77.800003,41.650002,120.510803
2018-04-17,2706.5,6828.75,1584.1,684.3,231.160004,66.339996,32.085506,123.349998,42.428574,94.669998,28.441643,47.84,1079.359985,75.300003,148.34726,51.300262,124.399887,104.883057,236.104141,103.091316,38.842903,80.029999,42.5,122.40921
2018-04-18,2709.75,6843.5,1587.8,682.8,231.100006,66.839996,32.085506,124.459999,42.466633,93.989998,28.441643,47.900002,1075.390015,75.75,137.173492,51.367336,121.712532,104.036072,234.941254,101.301628,38.529663,80.339996,42.650002,123.081589
2018-04-19,2693,6780,1575.1,674.9,227.619995,67,32.288029,124.059998,42.400036,92.230003,28.183691,47.189999,1089.449951,75.739998,136.168594,50.035484,121.550522,106.320076,227.655518,99.966469,38.377777,79.68,43.049999,122.567421
2018-04-20,2671.5,6676.25,1566.7,664.9,225.240005,66.839996,32.027645,122.82,41.952812,89,27.944845,45.77,1077.319946,76.080002,133.587204,49.374348,120.702393,106.082161,227.327545,97.040497,38.130974,78.730003,42.75,122.804726
2018-04-23,2671.25,6667,1565.3,663,225.300003,67.300003,32.664146,121.889999,42.105053,89.800003,27.983061,46.59,1073.810059,76.43,134.47226,48.96233,120.864403,105.56826,222.526749,97.135178,38.292351,78.209999,42.549999,123.061806
2018-04-24,2635.25,6526.75,1556.8,651.2,217.889999,66.440002,32.162655,117.879997,41.619778,90.82,28.30789,45.630001,1022.640015,76.239998,134.195679,49.297688,120.254494,105.073395,219.86293,96.055702,38.53915,75.279999,41.150002,119.907639
